"","status_id","status_message","link_name","status_type","status_link","status_published","num_reactions","num_comments","num_shares","num_likes","num_loves","num_wows","num_hahas","num_sads","num_angrys","year","month","day","hour","minute"
"43","348156187501_10152908471307502","b'Tosh has no chill'","b'Daniel Tosh Ripped Apart ESPN For Stealing His Web Redemption Segment'","link","b'http://www.barstoolsports.com/iowa/super-page/daniel-tosh-ripped-apart-espn-for-stealing-his-web-redemption-segment/'",2014-11-12 12:00:01,1858,88,673,1858,0,0,0,0,0,2014,11,12,12,0
"44","348156187501_10152407228232502","b""Stop whatever you're doing and watch this Sportscenter Feature on the Boston Marathon  #bostonstrong   http://ow.ly/vJId7""","b'> The Sportscenter Feature on the Boston Marathon Is MUST WATCH STUFF...'","link","b'http://ow.ly/vJId7'",2014-04-13 10:52:58,769,17,578,769,0,0,0,0,0,2014,4,13,10,52
"45","348156187501_10152185839407502","b'Masshole 101 on full display in Central Square.  Photo from @mevesdropping'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152185839407502/?type=3'",2014-01-02 17:34:49,2022,118,567,2022,0,0,0,0,0,2014,1,2,17,34
"46","348156187501_10152509050722502","b""Bad news, America. We've killed whiskey""","b""> \xc2\xbb We're Drinking So Much Whiskey in the USA That We Are On The Verge Of a Whiskey Shortage""","link","b'http://www.barstoolsports.com/dmv/super-page/were-drinking-so-much-whiskey-in-the-usa-that-we-are-on-the-verge-of-a-whiskey-shortage/'",2014-05-28 09:00:01,109,66,419,109,0,0,0,0,0,2014,5,28,9,0
"47","348156187501_10201875403555273","b'Unreal shot of Tom Brady watching the chaos unfold on Beacon Street today http://ow.ly/v1oZQ'","b""> Tom Brady Watching Today's Chaos Unfold""","link","b'http://ow.ly/v1oZQ'",2014-03-26 20:33:20,1291,114,377,1291,0,0,0,0,0,2014,3,26,20,33
"48","348156187501_10152412100337502","b'MUST WATCH recap of the entire Boston Marathon week last year.   #bostonstrong #chills http://ow.ly/vP88s'","b'> This Must Watch Recap of the Entire Boston Marathon Week Last Year...'","link","b'http://ow.ly/vP88s'",2014-04-15 14:06:49,325,9,316,325,0,0,0,0,0,2014,4,15,14,6
"49","348156187501_10152413516487502","b'Awesome'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152413516487502/?type=3'",2014-04-16 08:21:57,2259,7,315,2259,0,0,0,0,0,2014,4,16,8,21
"50","348156187501_10152412672322502","b'More info on the pro terrorist maniac who shut down Boylston http://ow.ly/vPGUJ   #dontmakemecallgleeson'","b'> All Signs Point To This Being The Pro Terrorist Lunatic Who Thinks The...'","link","b'http://ow.ly/vPGUJ'",2014-04-15 20:02:36,243,126,315,243,0,0,0,0,0,2014,4,15,20,2
"51","348156187501_10152523027072502","b'Are Kevin Love AND Melo going to Boston? Reports think so http://www.barstoolsports.com/boston/super-page/oh-shit-looks-like-weve-got-a-new-big-three-coming-to-boston/'","b""Oh Shit! Looks Like We've Got A New Big Three Coming To Boston""","link","b'http://www.barstoolsports.com/boston/super-page/oh-shit-looks-like-weve-got-a-new-big-three-coming-to-boston/?utm_content=buffer22dfc&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer'",2014-06-03 13:00:46,506,89,310,506,0,0,0,0,0,2014,6,3,13,0
"52","348156187501_10152562636427502","b'In your face, women of the Internet'","b'Update \xe2\x80\x93 Viral ""Sexy"" Felon Guy Is Actually Ugly, Proves Anyone Can Take A Good Picture'","link","b'http://www.barstoolsports.com/chicago/super-page/update-viral-sexy-felon-guy-is-actually-ugly-proves-anyone-can-take-a-good-picture/'",2014-06-20 12:30:00,634,66,303,634,0,0,0,0,0,2014,6,20,12,30
"53","348156187501_10152478199117502","b'This killer clown prank is the most pants-shitting thing the Internet has ever done http://www.barstoolsports.com/boston/super-page/i-would-straight-up-shit-my-pants-if-someone-ever-did-this-killer-clown-prank-to-me/'","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152478199117502/?type=3'",2014-05-14 13:30:14,251,69,299,251,0,0,0,0,0,2014,5,14,13,30
"54","348156187501_10152352867837502","b""Happy St. Paddy's Day""","b'Timeline Photos'","photo","b'https://www.facebook.com/barstoolsports/photos/a.352575592501.188647.348156187501/10152352867837502/?type=3'",2014-03-17 12:52:32,2496,17,298,2496,0,0,0,0,0,2014,3,17,12,52
